School,Conf,Coach,School Pay,Total Pay,Max Bonus,Asst Pay Total,School Buyout AS OF 12/1/17
Iowa,Big Ten,Chris Doyle,625000,625204,0,3610000,
Alabama,SEC,Scott Cochran,525000,525000,115500,5320000,
Ohio State,Big Ten,Mickey Marotti,520500,520500,197370,4583100,
UCLA,Pac-12,Sal Alosi,410000,410000,100000,3955000,
South Carolina,SEC,Jeff Dillman,400000,400000,115000,3952400,
Oklahoma State,Big 12,Rob Glass,395000,395000,90833,3283999,
Ole Miss,SEC,Paul Jackson,375000,375000,45000,4261700,
Clemson,ACC,Joey Batson,368833,368833,95000,5390417,
Florida State,ACC,Vic Viloria,362000,362000,65333,4586000,
Missouri,SEC,Rohrk Cutchlow,360000,360000,115800,3801800,
Texas,Big 12,Pat Moorer,350000,350000,155000,4546250,
Arkansas,SEC,Ben Herbert,340000,342000,113333,3893100,
LSU,SEC,Tommy Moffitt,330000,330000,75000,5781500,
Oklahoma,Big 12,Jerry Schmidt,330000,330000,72916,4390900,
Texas A&M,SEC,Larry Jackson,315000,315000,75600,4811000,
Kansas State,Big 12,Chris Dawson,310000,310200,119200,3203525,
Washington,Pac-12,Tim Socha,285000,292500,96000,3553578,
Auburn,SEC,Ryan Russell,285000,286250,111250,4456250,
Maryland,Big Ten,Rick Court,285000,285000,55000,2907500,
Michigan State,Big Ten,Ken Mannie,271781,274231,94078,3445098,
East Carolina,AAC,Jeff Connors,270361,271861,5000,1701500,
Houston,AAC,Yancy McKnight,263550,263550,44804,2419000,
Rutgers,Big Ten,Kenny Parker,260000,260000,0,2340000,
Arizona State,Pac-12,Shawn Griswold,255000,255000,92414,3255000,
Washington State,Pac-12,Jason Lascalzo,251500,251500,0,2662000,
Michigan,Big Ten,Kevin Tolbert,250000,250000,41667,4308750,
Minnesota,Big Ten,Eric Klein,246840,246840,71710,2932000,
Wisconsin,Big Ten,Ross Kolodziej,240000,240835,93600,2862520,
Kentucky,SEC,Corey Edmond,240000,240700,40000,3403900,
Florida,SEC,Mike Kent,240000,240000,92000,4530709,
West Virginia,Big 12,Mike Joseph,238000,238000,72500,2686025,
Connecticut,AAC,Matt Balis,227217,227217,37870,1893802,
Illinois,Big Ten,Joey Boese,225000,225000,94500,3245000,
Oregon,Pac-12,Jim Radcliffe,211200,216300,25000,3622484,
Purdue,Big Ten,Duane Carlisle,214212,214212,0,2495000,
Nebraska,Big Ten,Mark Philipp,211150,211150,84463,3758626,
Iowa State,Big 12,Rudy Wade,210000,210000,17430,2318250,
Air Force,Mt. West,Matt McGettigan,204000,204000,,1618000,
Indiana,Big Ten,Keith Caton,201000,201000,16667,2751661,
Cincinnati,AAC,Joe Walker,200000,200000,25000,2140000,
Texas Tech,Big 12,Rusty Whitt,200000,200000,16667,2247900,
Kansas,Big 12,Je'Ney Jackson,195000,195000,0,2300599,
Virginia Tech,ACC,Ben Hilgart,190000,190000,0,3359000,
Utah,Pac-12,Doug Elisaia,181000,181000,30167,2900000,
Colorado,Pac-12,Drew Wilson,180625,180625,34615,2661601,
Louisville,ACC,Joe Miday,174850,175850,0,3839500,
North Carolina State,ACC,Dantonio Burnette,175000,175000,0,2966365,
Arizona,Pac-12,Chris Allen,167633,169633,13969,2834900,
San Diego State,Mt. West,Adam Hall,165468,166968,0,1594448,
North Carolina,ACC,Lou Hernandez,166531,166531,27755,2598400,
Georgia,SEC,Ed Ellis,166000,166000,0,4675000,
UCF,AAC,Zach Duval,165000,165000,0,2130000,
Southern Miss,C-USA,Zac Woodfin,165000,165000,13750,900500,
Memphis,AAC,Josh Storms,165000,165000,13750,2149500,
Georgia Tech,ACC,John Sisk,164500,164500,13708,2534515,
California,Pac-12,Damon Harrington,150000,151900,8000,2675600,
Virginia,ACC,Frank Wintrich,150000,150000,37500,3030000,
Oregon State,Pac-12,Evan Simon,150000,150000,25000,2736691,
Mississippi State,SEC,Nick Savage,150000,150000,12500,3295000,
Colorado State,Mt. West,Ryan Davis,142520,142520,0,1845555,
Boise State,Mt. West,Jeff Pitman,138612,139362,13931,2052597,
Charlotte,C-USA,Jim Durning,130000,130000,6500,954000,
Army,Ind.,Tim Caron,126000,126000,10000,2185759,
Massachusetts,Ind.,Joe Connolly,122500,122500,17708,854284,
South Florida,AAC,Irele Oderinde,122400,122400,0,1911500,
New Mexico,Mt. West,Lewis Satchell,120000,120000,0,1439460,
Fresno State,Mt. West,Thomas Stallworth,120000,120000,0,1019258,
UNLV,Mt. West,Keith Belton,117300,117300,0,1400000,
Arkansas State,Sun Belt,Matthew Shadeed,105000,115500,8750,1278700,
Wyoming,Mt. West,Russell Dennison,115008,115008,9584,1289782,
Louisiana-Lafayette,Sun Belt,Lewis Caralla,113563,113563,0,989800,
Texas State,Sun Belt,Aaron Burkart,110000,110000,0,925000,
Louisiana Tech,C-USA,Kurt Hester,106800,106800,0,1175000,
Utah State,Mt. West,Dave Scholz,104776,106576,0,1441200,
Western Michigan,MAC,Dan Nichol,105000,106200,5000,1225320,
Georgia State,Sun Belt,Scott Holsopple,105250,106000,0,1049750,
Central Michigan,MAC,Jason Novak,105882,105882,2500,940108,
Appalachian State,Sun Belt,Mike Sirignano,105000,105000,20000,1023903,
Middle Tennessee,C-USA,Jason Spray,105000,105000,8750,1257257,
Florida International,C-USA,Chad Smith,101000,101500,0,1005823,
Western Kentucky,C-USA,Justin Lovett,100008,100008,0,1005036,
Northern Illinois,MAC,Brad Ohrt,99000,99000,21500,921018,
Marshall,C-USA,Luke Day,97500,97500,0,1182914,
New Mexico State,Sun Belt,Don Decker,95995,97295,0,707608,
Toledo,MAC,Brad Bichey,94000,94000,0,944000,
Ball State,MAC,Benjamin Armer,93000,93650,0,954700,
Florida Atlantic,C-USA,Chuck Lobe,90900,91550,0,956200,
Buffalo,MAC,Ryan Cidzik,90000,90000,0,927911,
North Texas,C-USA,Zach Womack,90000,90000,7500,1245000,
Miami (OH),MAC,Paul Harker,86900,86900,0,897288,
San Jose State,Mt. West,Gary Uribe,86748,86748,0,1094796,
Bowling Green,MAC,Billy Yates,83640,83640,0,830300,
Eastern Michigan,MAC,Fred Hale,82500,82500,0,889245,
Eastern Michigan,MAC,Brian Fink,82500,82500,0,889245,
Kent State,MAC,Ross Bowsher,76500,76500,0,733900,
Georgia Southern,Sun Belt,Tredell Dorsey,75000,75000,0,1010000,
UTSA,C-USA,Ryan Filo,75000,75000,0,1055000,
Troy,Sun Belt,Rafael Horton,75000,75000,0,1194400,
Nevada,Mt. West,Matt Eck,73916,73916,0,1277821,
UTEP,C-USA,Kirk Davis,70000,70000,11667,1201860,
Tennessee,SEC,Michael Szerszen,69340,69340,5784,4545700,
Idaho,Sun Belt,Jake Scharnhorst,60008,60008,0,995385,
South Alabama,Sun Belt,Justin Schwind,56200,56600,0,1120062,
Akron,MAC,Matt Gildersleeve,55000,55000,0,919220,
Louisiana-Monroe,Sun Belt,Ben Jacobs,55000,55000,0,930000,
Ohio,MAC,Dak Notestine,51000,51000,0,920307,
Old Dominion,C-USA,Ryan Martin,45000,46000,0,1090666,
Tulsa,AAC,Adam Davis,,,,,
Hawaii,Mt. West,Bubba Reynolds,,,,,
Southern Methodist,AAC,Trumain Carroll,,,,,
Temple,AAC,Jeremy Scott,,,,,
TCU,Big 12,Don Sommer,,,,,
Tulane,AAC,Kyle Speer,,,,,
Brigham Young,Ind.,Nu'u Tafisi,,,,,
Rice,C-USA,Ryan Tedford,,,,,
Stanford,Pac-12,Shannon Turley,,,,,
USC,Pac-12,Ivan Lewis,,,,,
Vanderbilt,SEC,James Dobson,,,,,
Penn State,Big Ten,Dwight Galt,,,,,
Boston College,ACC,Frank Piraino,,,,,
Baylor,Big 12,Kaz Kazadi,,,,,
Northwestern,Big Ten,Jay Hooten,,,,,
Wake Forest,ACC,Brandon Hourigan,,,,,
Duke,ACC,Noel Durfey,,,,,
Syracuse,ACC,Sean Edinger,,,,,
Miami (FL),ACC,Gus Felder,,,,,
Navy,AAC,Mike Brass,,,,,
Notre Dame,Ind.,Paul Longo,,,,,
Pittsburgh,ACC,Dave Andrews,,,,,
